node_id,feature
0,"0.9675830638018601,0.7756511619207137,0.4078041734918183,0.9975358793380833,0.029851843769664543,0.9160210173914958,0.44031305111373586,0.8139301134165635,0.7215428533835421,0.7773038090662359,0.3817332845959749,0.5445716526717094,0.5573594744703112,0.8969564308982861,0.5558068210521256,0.3734561859771123,0.6998811200561622,0.3172028111156424,0.19203386124059452,0.29357159421710854,0.5524133702157293,0.5512599203161523,0.06523071122363189,0.4802124414348109,0.24551493043436357,0.17245806208738867,0.9306171432654178,0.7445715387713092,0.3191378628758842,0.47621441165255696,0.18921826829984112,0.017608091263491388,0.7479638678468845,0.1451182372956178,0.045519435324602786,0.9044205867787953,0.5169789330184932,0.41737869981331854,0.3937430296284269,0.6471266510190538,0.9554169071800362,0.6091346575422026,0.5982470303449846,0.9987259716981826,0.6029025272787597,0.5393183133395393,0.16537270442386542,0.3586450920693933,0.5515215380542029,0.24331814997505863,0.29979452822078556,0.09405373536143369,0.9540874833114068,0.8633979598339537,0.7399846782558845,0.3814079595976201,0.4771943933756593,0.3242132270503254,0.3404461735243087,0.06864557146548023,0.2700547226207318,0.9632468793977522,0.6496673738219919,0.39095102728807907,0.2632442845172249,0.050221716506032466,0.8175155494414206,0.119898314879614,0.45620051618027724,0.7007200599388103,0.1998250537866897,0.3707221815569889,0.3275240578119307,0.7801749235729246,0.39127904440957806,0.33279569244056506,0.6648517752860409,0.7791268851770242,0.535455320454605,0.36787557808626037,0.8041140480056415,0.2700729430735562,0.31127071280400376,0.8596017578272086,0.2939618144130933,0.49298289446899834,0.02138327906544868,0.8731112816688784,0.8103345378534094,0.5918461076115235,0.4424733016631719,0.24576992048410418,0.06583623124456195,0.6830860817285118,0.02068267254114109,0.1778556830855682,0.13494132705478123,0.5252246523742389,0.4587585454427743,0.15310990364291055,0.9145976600552792,0.9500829197985783,0.9240990820422846,0.4491782525163682,0.5219509130324244,0.8996644658327924,0.03602209045224636,0.5369530880260905,0.7927528483304029,0.8334787969165567,0.13889541715960663,0.5703532217237632,0.2562586288659422,0.8799920874256612,0.7490584897142115,0.6776543649925676,0.00871771436481994,0.10486786017837058,0.24202570016116154,0.976981776628153,0.0846950974861358,0.2412167910660057,0.592182384223696,0.7694171625240327,0.21769388106923315,0.2654445998383236,0.779424203996345,0.7632385646343088"
1,"0.4313468295988081,0.7960099517965025,0.6187837615213743,0.2795767917389207,0.022579367200519784,0.5570688312219101,0.9595153990361347,0.9802467126742389,0.8147420572222,0.2587254956252476,0.5177713428873578,0.6543359060927558,0.44435552086642016,0.9878426380153196,0.053716929414815984,0.5570973799211931,0.4246672929417352,0.5716397617773948,0.3979458523883931,0.911767994897863,0.9729440850402749,0.8107878534757063,0.5394151263791358,0.8711494527999917,0.976035774482104,0.7377671386351723,0.6646930850149868,0.018597281716786762,0.9709168221091371,0.3418677706584281,0.0616018848227563,0.6662206430620655,0.967626717520885,0.6896021826516042,0.7055431183239896,0.5823087673485717,0.3154345393552924,0.6194334216736945,0.12172584530686381,0.39132343696956695,0.27914071339781676,0.1405639139184316,0.08889024698870707,0.8319299223489071,0.5572334209231229,0.5447214156826006,0.3985824847567653,0.5651227433874921,0.8800300545666229,0.6020032860613828,0.3605779074683202,0.17286575769983858,0.9988014867885738,0.9452587051190204,0.9631119151194243,0.6184141064638088,0.4015497833735854,0.6084857761894933,0.07657360570338412,0.7370067736149578,0.41167382494533933,0.4719009532153233,0.20753404397349517,0.4638447585454971,0.96098955977966,0.4560967233390494,0.3704990571286336,0.6115158997345056,0.8216927770885407,0.8818383913624073,0.781642901629649,0.22603672954476117,0.5851246812608353,0.45083055560032914,0.3681566972415994,0.8207013810257605,0.2747396771492895,0.4369952472788835,0.3330303777677537,0.011223242204151829,0.47904469596993005,0.3947982234567736,0.8348602692018563,0.34795436310703,0.27443113865610125,0.24994150656171965,0.09552081465727047,0.7234145895168631,0.21557116541484167,0.8942308574024128,0.9912438847827114,0.17444807361690085,0.6134812253294395,0.11730796364298068,0.936515732608644,0.6105549188754715,0.5166640645111052,0.47010823158297654,0.005577518971765394,0.5300013326154668,0.42984458371121337,0.022921977320689346,0.11122392890884791,0.7823034330150472,0.5013142977996443,0.4468028610131878,0.7611826922546299,0.30722049855720157,0.10392663767807453,0.5795280592338045,0.8584117044672883,0.3097169473569369,0.3242531615811596,0.7964739726262188,0.49745549414387524,0.8375566367379631,0.19446897027387622,0.3120191160442066,0.08188012297689673,0.5697603147768352,0.1312850738360083,0.6542806775387379,0.8545352654715489,0.15593462833137994,0.7035732683100259,0.20155811220211683,0.607972062136771,0.044746803066350704"
2,"0.9261153903962043,0.5320643919221586,0.23941359357143388,0.07300184546020017,0.1391465357583711,0.34183129553094804,0.29359675191279544,0.5470034812198233,0.5467150355982692,0.08117571102681587,0.08271263547737873,0.49874499847280607,0.6093492632848233,0.6966107100203726,0.7367093515514807,0.32876820211463076,0.8024539611872675,0.2052098677487353,0.3092473412040624,0.15069625653945928,0.6143499919832898,0.3460275739715417,0.11192029146486393,0.4361513952315963,0.984551426016674,0.8583802163716227,0.49225822357769833,0.48633755466766626,0.5949317138232249,0.26349755434549726,0.05427284907125085,0.6103787226481431,0.8798033763552319,0.5138446384304935,0.2932206385668923,0.18597138371044397,0.06451898884031992,0.893034299155362,0.18191052761753124,0.8328405598433813,0.0632269175665573,0.7814449269040041,0.9655812721342099,0.8195762903237637,0.39396722548657526,0.013633632231547899,0.08457915771314117,0.3491479236602014,0.9619519862612113,0.9550799893080507,0.39798291690768284,0.26916081384285817,0.4614995491628697,0.2552277374526031,0.2759998981852545,0.06708090944667022,0.10046559008911793,0.8899631167731173,0.44943376212651154,0.4491275648303136,0.13519152148759117,0.8691115272046106,0.34597836058941145,0.056306853434441195,0.41723477721551194,0.3767252185807922,0.8956362781756344,0.5869833110223995,0.1639750725309821,0.3561852697341047,0.699687118733743,0.7915239751816414,0.008045357351389337,0.7965784415293204,0.4697329280887351,0.04600047034446053,0.9241753629848527,0.3840666283521038,0.2519717556922444,0.31129491670303167,0.14089083778538392,0.08734205581038923,0.5980636709883734,0.14156194604206307,0.9028150264745896,0.3176001655193319,0.132383760771549,0.7092452351371727,0.39916764632079427,0.03345974737613833,0.16431674720414813,0.8295482130812695,0.07541625198354152,0.3405414822424456,0.9748471794069739,0.7214463986964589,0.17532712239928439,0.48854856466171614,0.7090663642498982,0.9046544165568421,0.05062747646636512,0.8169133364874588,0.9186445857165414,0.19572047927502745,0.48865463992205094,0.6625178549428175,0.16415424863037287,0.32731160106440615,0.2219684377057375,0.9342246430507863,0.7617417639638664,0.03957872845942434,0.8401995932236769,0.6544480619792514,0.007276281056019296,0.44410450060508433,0.7205846655889446,0.7069582409402828,0.13814904101150072,0.15340554712110221,0.529725328300003,0.7389856343450062,0.0631152399794429,0.8916932552912377,0.6607754733200186,0.5049661049816545,0.8606845751054973,0.12961655966806063"
3,"0.9601824647657969,0.15665292059648483,0.47048227625844363,0.4955745939243653,0.2575118509116686,0.11313859129867065,0.7890352250600812,0.7495973300637121,0.5528036047204361,0.5826270820867665,0.7871730829606526,0.7142469917733876,0.7283559566874162,0.32050225278374544,0.41314363093057094,0.18894097010409783,0.3552231459861369,0.541666631462711,0.9958639122381527,0.11338389524937953,0.2699632330988806,0.8776327578758454,0.5388689257662435,0.6927931527504594,0.09172120259408023,0.5371501372454583,0.34710088324255073,0.24225548978804057,0.6157918592655827,0.9119383686436403,0.3325595631330096,0.7796298792391896,0.6838916206228365,0.06696704598697878,0.046645688306359734,0.2621828105081424,0.688331095227904,0.4988115411103513,0.7705242467358605,0.17733187921032212,0.38486994746484504,0.306373620733178,0.00231169989242741,0.23593273998328113,0.07997859764060078,0.07315902741393998,0.09972772312261757,0.6215056533199621,0.8223956082096852,0.9241119623722744,0.19311364367133,0.7808481643377158,0.7862583632617157,0.1288571642902293,0.4826743643956066,0.15565097366553027,0.9489216535535835,0.9548988751580889,0.3091241660372397,0.05336202530267631,0.11511705097462321,0.4983359685344857,0.004123788943808826,0.8172804948887678,0.09711713811321199,0.8381182994644654,0.925608405355444,0.7589098475248299,0.9723216415682052,0.463737103391451,0.01781285305437974,0.39735726127162885,0.03777649002038652,0.6443005561326363,0.46272269983115755,0.8000994671349041,0.4636297379467953,0.17837560574752032,0.8199235026699974,0.2872915516458737,0.8724255645926394,0.5313978966098468,0.37451530219237794,0.2689714610484164,0.18833128128867793,0.5372355350753213,0.58139437971019,0.2280165251604589,0.41359704852498547,0.9518823326227026,0.069065921281798,0.40510032017124786,0.9558965462319239,0.28186065180638553,0.7768704941257037,0.6873661160130685,0.8788743787622177,0.23279718778984926,0.7960143435815397,0.4729341736239704,0.025455769282119678,0.8271877451604036,0.21564553767087502,0.5348778385114794,0.37995875650354805,0.7648810492119911,0.4423147105384513,0.11319058807188576,0.9487442243988213,0.3314597476964284,0.6118719287924631,0.24249557601943972,0.3547703508899003,0.7768369860604898,0.404989473411249,0.497020396387839,0.9122091331624604,0.8678449876636202,0.32941255248637946,0.9410524034042741,0.09739276779008033,0.7557784865985402,0.35133662206299254,0.45396701757357927,0.9077620451479709,0.37346747040077743,0.9921092915784808,0.6955171990790123"
4,"0.09672158390559193,0.40204198623492604,0.5896273111082914,0.8130501262164829,0.3286470758182769,0.7322765935182789,0.563406570049726,0.7513802004593593,0.8687134490465387,0.7847092569991699,0.07538705616239783,0.28721696642088945,0.4648454761015478,0.331889183598145,0.22600764137201723,0.25782112793876655,0.4586748583890874,0.1603579170042828,0.7065286855728846,0.4136059450947488,0.5458035728155873,0.6241839043647923,0.28170851349485093,0.8410561507932149,0.8264758840971713,0.8893569440055686,0.4578784560623099,0.934845356049138,0.3791291700177142,0.46260721352564793,0.9640074826591413,0.9237776285143694,0.8455539146881126,0.312443730645211,0.6037098573298119,0.9915114659308996,0.22855214786674172,0.16806585814848662,0.9261349724799386,0.15608984763614664,0.48198660416882966,0.04577843916908064,0.9088141982008348,0.5685147084599406,0.9599150766058042,0.6888006642963126,0.9432847895050456,0.5855791494579484,0.2077603864194819,0.1553700808606343,0.8304215137944723,0.35922081269612616,0.9363541404925233,0.4523816913035448,0.1377050828514118,0.10325009223804482,0.47134732911693633,0.8057745856171191,0.4124601018479005,0.6442711123919346,0.5016157766050987,0.16944748899095918,0.3638632620367076,0.1511364882546038,0.16160696257766638,0.8952495266356408,0.1396799166018382,0.9459208491958712,0.5243019826613154,0.22934114819290774,0.9408573557189314,0.4676001066704325,0.7332541738410887,0.26994448854870534,0.8722785665508508,0.8327842561462615,0.9754974081420819,0.9462487890025012,0.4039877520622772,0.2790474152975534,0.5384901449036145,0.021020516993998095,0.5298378570206018,0.057674413445551576,0.14410621663367096,0.7227071485123059,0.12457889513228004,0.8257434777643345,0.47381680628673495,0.2228455420812453,0.14613181929625596,0.5283942982403069,0.8292939275584231,0.2769294745287062,0.9494401058252695,0.35732921900354775,0.8049656286432768,0.21755577968146889,0.680128122514676,0.03918502473540153,0.17599596755339697,0.21084261911468027,0.6124601531405445,0.5967151826076958,0.8704243093128556,0.9867209814655383,0.5181343258124873,0.26478371062769224,0.6151612412815559,0.24811447886409532,0.4090791695532848,0.5120122906477242,0.8455485893197909,0.15147398922136157,0.4931300218738457,0.25435233026296156,0.42576714296749085,0.35892112403467746,0.34492291931326635,0.5965640136250591,0.20514523748499514,0.6252723938391447,0.08625201946822103,0.5256875580056186,0.9979629981183719,0.7666385661133298,0.3603756217047599,0.8127180008895964"
5,"0.7487920687863033,0.49960393351325216,0.8416160655265074,0.22941208978869987,0.9241557321669054,0.2933020700514011,0.5659267919751916,0.8001659968881403,0.7463334134570179,0.2587177101436072,0.3169764512707247,0.7115123009533125,0.05251080908304184,0.055057611809232965,0.7674607383168468,0.19877707848067871,0.796840613169755,0.7862731673395645,0.590105939807595,0.29865069076905315,0.6729026837372432,0.7605709231966281,0.03224964772154926,0.44162513981360785,0.3432405846660054,0.16541211230935382,0.8105314841053273,0.24343207871125694,0.9360381129742832,0.919315743513386,0.82175901651332,0.5025521390027433,0.5567492560224605,0.58936269845738,0.5135414534730228,0.04061741526277696,0.47981564221072803,0.7389115288521223,0.2654030271916412,0.23124677246804892,0.9322471009346578,0.25702152767428066,0.6277372150781487,0.41066249418735745,0.9968485783201394,0.5212392423089832,0.020464401164672852,0.9505792661662427,0.8251020208422432,0.20418189322276192,0.8411203387956481,0.19806806490672535,0.6348098341917419,0.9551228015182345,0.09919351908367702,0.5214635624209815,0.4467366262051937,0.14998723230523325,0.9256538245230548,0.10767053465745535,0.9813075907983034,0.613205093426902,0.6719789111625749,0.9713199189826578,0.13715303216686836,0.8955146074477548,0.6539392223957774,0.11969850812046867,0.09370608922477519,0.6739014993317529,0.5428476353090615,0.48287314753757116,0.09992131596319431,0.21390843724880482,0.008515029475182678,0.09667368173292601,0.9112323537760527,0.30965123035958864,0.46171816727977066,0.4413170937803761,0.3402422362236047,0.545657401689589,0.1694787896113754,0.5755851874924558,0.7284849277347585,0.4680291795826197,0.9880224062514625,0.3300227572929313,0.8733453181053034,0.872789618241229,0.4391798185481379,0.31073783415785783,0.6011625239577325,0.6517668552017594,0.8669241037723925,0.9407812479174602,0.018383818036594057,0.288233075389026,0.16477853697410283,0.4825959459004442,0.2081583512828722,0.26228322052150976,0.4834919100031121,0.5308939849312058,0.14973515839987805,0.5131557062419289,0.2151333606716781,0.11602932682577827,0.7553247224140007,0.6845244981010562,0.07176202387799313,0.5053493258402015,0.37277885645118636,0.17852589550172737,0.6171520101185067,0.5226626937796081,0.8745428055914122,0.342973295617765,0.4129108386189013,0.08798732326788905,0.9283018798295012,0.26910296630474073,0.43784534573266987,0.270634275260086,0.8560850279210201,0.9132150171827104,0.6121847775785223,0.391414294284415"
6,"0.7632900025205718,0.6601915796539574,0.09961679045983152,0.6026614125334395,0.0471859868623663,0.9628018261978987,0.08447473101854253,0.9174094436052219,0.1130716903913016,0.7670505652426096,0.16221617444497538,0.25342531591297357,0.08841808500854642,0.06074507282110597,0.9966033094850518,0.3882569578312346,0.04635227390357144,0.44201887875525814,0.2510524195899807,0.5723037106866756,0.8170506578157285,0.3498333631640702,0.3973666502077977,0.1524648302565712,0.6976095674866263,0.25735931935688416,0.7670587815731768,0.4487271765663956,0.9274487203983831,0.7221712366810905,0.8743602825260871,0.7438736970426273,0.8466979789723762,0.08641619770180042,0.47990188804750555,0.3894770674195466,0.9465693118637717,0.5573089643834488,0.9080638064875103,0.016764760868712925,0.32381681448610866,0.6767589998063149,0.14073012015053665,0.9961979563593607,0.3007530184778191,0.9906772165770857,0.454805085353294,0.15683425171996845,0.5078767118035529,0.1184524881824669,0.14522398370167944,0.06462513120465518,0.5638601276203806,0.9770404662124968,0.6435665153895264,0.32540954086624874,0.5772230794785487,0.7747104395837169,0.8025189515369849,0.7180966538674418,0.4134419017662314,0.8520400860276522,0.28896824153346146,0.13818078175155923,0.8501089835289438,0.7937138494673149,0.5980868062443897,0.9217782837770913,0.9261291050924582,0.5545309192442965,0.9784448527704573,0.03217575210066248,0.7520670233036202,0.9029457330671818,0.797155529401598,0.7415303347068064,0.7588856191276124,0.7207135460081345,0.3591509435702763,0.34097096368153723,0.022570827871068677,0.39077493973990607,0.5300543767881558,0.5857742117927006,0.2677293206018141,0.3593310335095933,0.6331644051191687,0.7765865729258914,0.21828358533100467,0.046397396811858505,0.04381248344945432,0.8921462556120209,0.8757845095829685,0.03195764366933718,0.9539003983600203,0.33896243444213425,0.7946899810064504,0.8056403316866566,0.5969778790061151,0.2187628693789797,0.07551600985881146,0.9342723813076006,0.3430094687907249,0.9863598172147376,0.24916439067835505,0.8065893236136721,0.8421202199271327,0.07626509210695753,0.5777889363824367,0.3661667683526705,0.3155860027610895,0.2818778765460592,0.494583319341407,0.9550897319745005,0.41679765408969927,0.9520183363512954,0.12533600814460577,0.8392448151760447,0.4034289195844214,0.5518452675210749,0.6198568785034342,0.1833446583622964,0.01653145068399242,0.8634214358374581,0.8683098104733121,0.31821255821886263,0.686992252199679,0.8928313478124409"
7,"0.5766439477969029,0.7202986102214914,0.8525671268344522,0.6163182733989467,0.22264921910824842,0.6541728282289594,0.5322225184953573,0.6332763488250611,0.2304690305522864,0.13537647280355503,0.6803004949406486,0.6386060246406949,0.9478210543816106,0.9569518841665698,0.3919259597791842,0.755268375266485,0.8616637273738414,0.8290241954028562,0.9014055389307954,0.8235996440880065,0.7946673967154061,0.5097663259050154,0.8373599044219409,0.6810044256289175,0.3223872825134255,0.8903099024726373,0.23846293285322095,0.809497012468876,0.8567299659143109,0.03995461195282657,0.444887427318316,0.8217069072739378,0.3091766020814405,0.28747784526578823,0.01881234852078295,0.8336367137454745,0.010455348941851406,0.03854492529181641,0.796886153373859,0.2925847408406812,0.22068872288259522,0.9384232652588999,0.9409054227770245,0.5662458457460916,0.9536363490418202,0.35824733645882767,0.06934385428882506,0.8297597026937376,0.48629768312630073,0.4748565331413225,0.07501313573932056,0.16337229604026648,0.08254544089552751,0.26858954335716967,0.9554337492506697,0.26919736365838787,0.9667300248690128,0.4019958363614995,0.4200496933112948,0.9583276270146387,0.5539877774455331,0.23725215785978115,0.05288079689202285,0.7233972353576539,0.63607386445907,0.8831329979248512,0.499472351773639,0.9924930946386646,0.9897782756324588,0.5264724186578528,0.3451302667042563,0.008574784308198469,0.8203271263511203,0.03251430838868452,0.4304581781189779,0.693214407000144,0.6418931102606663,0.917254080229352,0.459307025366951,0.9518921383531369,0.7282693960363253,0.5303653521330378,0.4930263637277027,0.09975160772928715,0.21163641467833516,0.220872364495025,0.755303476283022,0.5359465759779969,0.0547060682303101,0.8683802978771188,0.2183750677230697,0.09152958942232436,0.9550750352937083,0.846380668774588,0.3002463455835338,0.7926012596641026,0.8442125577470921,0.41730062588371053,0.819937852476533,0.7935561909379332,0.4999194949983118,0.11716872601863815,0.16890423797684384,0.22019519746162597,0.05889298934559839,0.9301418787108734,0.06976163362605259,0.06921378071563933,0.656088710619151,0.9926818804332693,0.7153158630859965,0.38017930931901767,0.2328178001165353,0.7873817713558187,0.7945370302748088,0.10185144648233768,0.3975955072786431,0.3243285921570481,0.8244790990125065,0.7149740747142193,0.4117422996182566,0.5464167520770634,0.5101947790835288,0.006347767097593882,0.8680187712747163,0.558579575485936,0.37200617827849536,0.6691500789290977"
8,"0.03809642753121378,0.832464830912506,0.4731525647474051,0.2058688272239686,0.7066506317328304,0.2754904077757133,0.9330917716706358,0.22918150690783778,0.16469686446115583,0.5805685305292155,0.6060034125556624,0.2932748900584736,0.6204865232333345,0.42905916790836074,0.15366101739612914,0.3875090818904686,0.9779340070948759,0.13988340605181748,0.29611293177575637,0.9913887102003693,0.7374702018897634,0.31267856583450737,0.22190316895667284,0.754129291852923,0.2839713476093756,0.07815511171612266,0.5868287925637867,0.5496123753469174,0.3763961229824486,0.6765140049068832,0.7020165224606144,0.8642209320492971,0.07254158782257403,0.5867619801723654,0.7596139518098959,0.5964008606960373,0.5760154184130648,0.7989939235763845,0.6642051510271149,0.8236806056322238,0.8512759722698559,0.7154039884637705,0.30548724889866363,0.8558573336617072,0.10111814800954289,0.831637736489677,0.022053894689197606,0.0026705604340090394,0.3398088022620459,0.39549529062234545,0.5346232308371416,0.7648935873650138,0.05623309470028148,0.02928584202136586,0.13931949897943052,0.09807623547222732,0.06861858695842438,0.5566012413632802,0.1374145530908094,0.14255436159639756,0.10238846642332888,0.5574915681900956,0.3375419660979607,0.35663726470824775,0.5686633835611833,0.23444981888244087,0.5389725172761448,0.9078651810104429,0.8051183271685179,0.7584118154620405,0.07862549248541395,0.37088544478293883,0.38294868881234123,0.017668193576644065,0.7229023572662981,0.6141806000861331,0.19878132075845378,0.033414901976857925,0.9747077526903565,0.5460872632197135,0.9408316163431646,0.8340703285559931,0.13727383031435514,0.6441256065208953,0.07006125237891814,0.9603785731197384,0.19816579927084554,0.12957611638321898,0.352540917962166,0.9003498914415402,0.6612693104873821,0.4595061767102667,0.2407239929017836,0.4194582388534115,0.10590928971846825,0.7005238347926633,0.8334946966089642,0.6124228415086816,0.5259207998420612,0.19190100840984492,0.730124935091166,0.6754997109143297,0.8662108169969768,0.5590564285948075,0.5057253772257198,0.8689148894325401,0.6418138345853791,0.20963028253446248,0.6835489447083112,0.6999327477574727,0.4745943961963741,0.5448355937794204,0.13696133377564534,0.999225627652289,0.40924420725554334,0.8074209952051219,0.8302174304610995,0.6000565201793276,0.6902411753725801,0.2741876378783481,0.7105544652004077,0.9603584062365167,0.3446991553294426,0.9995242964610039,0.6461659886488319,0.21637092218990772,0.4391810098267033,0.7694225072019489"
9,"0.43020945823562573,0.9676600360002561,0.7052174041726472,0.6125137473691717,0.021157365330177758,0.7248234891368094,0.6402004171564281,0.6494236700272973,0.24322845634818313,0.8069614929562255,0.27988825708282417,0.40984549664281544,0.6580248597364156,0.44199891256182533,0.4516818139051838,0.2686493637021763,0.45031784838210664,0.41387037781989,0.1913395795898406,0.14881589375240922,0.6847731505381865,0.2671477362982564,0.902688496190889,0.602143024753265,0.5461920233236272,0.12388963565230926,0.9585672801442112,0.5679353011263274,0.7778177500471742,0.5434434955549922,0.6921472049310545,0.7019590056467697,0.3590286304541397,0.48246311131341724,0.5146699978834508,0.00010947045935394417,0.36900678017163024,0.6032253591951494,0.5996090223602514,0.0782034585972674,0.12059160669997115,0.38215400040351877,0.8135968023369415,0.5678788896458351,0.6098834995558404,0.006844993554551482,0.36762614251973125,0.5476851020946386,0.9318752417401635,0.049101333212729914,0.07403457548200698,0.6636615744170943,0.31869715919903585,0.9098713241880512,0.6343242586603203,0.05969143603504745,0.8044075251896786,0.1903436795346123,0.5034350557037729,0.7938313444486751,0.42315718646355605,0.031366301977583166,0.06853630681633283,0.09575987114187434,0.5765538104375595,0.6315898158553912,0.3905370638722404,0.7844203427952814,0.5281504170255554,0.5148275982522106,0.8498130700783166,0.7275506565522882,0.08432061581553596,0.8969579195888524,0.4237522894521055,0.6339891351088107,0.6570160383774394,0.17314328215666408,0.11934739881463774,0.4322437577816636,0.1599486105455501,0.8040592353034257,0.9282736946396799,0.01839418288548955,0.3559616066268142,0.9771553642589821,0.024917143291551258,0.7588716715882386,0.6917684127822603,0.30764608236746327,0.12562289144560668,0.2532118990013901,0.08941445878630616,0.536913482728713,0.8606552972439806,0.11108618395128711,0.41671063024731836,0.515427578228479,0.2316790695265566,0.8371476688166538,0.8599731557838779,0.2165894070186004,0.44089188966210946,0.2514063337730873,0.9712615633694662,0.9521898937719313,0.9278085037881579,0.2506394989360754,0.4546636372173799,0.8869878840772816,0.9167692804429033,0.04415794909577464,0.9016445558238438,0.09173653712833685,0.526581007450113,0.25965683623739244,0.05651270074491366,0.654283076589629,0.8044065746751252,0.9138779592595958,0.5280278655250664,0.4288059079596487,0.4883543433944727,0.768157418377535,0.1491114890894838,0.04366472227672147,0.05039770819504619,0.005197455813843788"
